,x
1606,Eif2a
1607,Ppp2r2d
1608,Cxcl14
1609,Pax3
1610,Gm43376
1611,Frmd6
1612,Col26a1
1613,Ak6
1614,Suclg2
1615,Hk2
1616,Sp3
1617,Sap18
1618,Bud31
1619,Zcchc17
1620,Ep400
1621,Znrd1
1622,Hddc2
1623,Bcl11b
1624,Ankrd12
1625,Mphosph10
1626,Acat2
1627,Gm49708
1628,Gpi1
1629,Trim24
1630,Nsmce2
1631,Elovl6
1632,Haus3
1633,Epha3
1634,Fign
1635,Irx3
1636,Twist2
1637,Tshz1
1638,Scube1
1639,Sesn3
1640,Inip
1641,Hsf2
1642,Adk
1643,Tfdp2
1644,Gsta4
1645,Cdca3
1646,Epb41l2
1647,Idh1
1648,Exoc3
1649,Casd1
1650,Ccne1
1651,Usp46
1652,Srpr
1653,Copb2
1654,Taf1
1655,Etf1
1656,Nrip1
1657,Hook3
1658,Rpa3
1659,1500009L16Rik
1660,Spg20
1661,Atad5
